# ADC noise capture
# date: 2026-08-10 18:45:39
# port: COM3, baud: 115200
# source: A0 trimmer potentiometer on the 511/512 code boundary
# requested samples: 1000, received: 1000, bad lines: 0
# duration_s: 1.059, effective_rate_sps: 943.0, mean_interval_us: 1060.5
# note: A0 trimmer at 511/512 boundary, run 1
sample_index,t_us,raw
745,1246204,512
746,1247312,512
747,1248416,512
748,1249520,512
749,1250624,512
750,1251732,512
751,1252836,512
752,1253940,512
753,1255044,512
754,1256152,512
755,1257256,512
756,1258360,511
757,1259464,512
758,1260572,512
759,1261676,512
760,1262780,512
761,1263884,512
762,1264992,511
763,1266096,512
764,1267200,512
765,1268304,511
766,1269412,512
767,1270516,512
768,1271620,512
769,1272724,512
770,1273832,512
771,1274936,512
772,1276040,511
773,1277144,512
774,1278252,512
775,1279356,512
776,1280460,512
777,1281564,512
778,1282672,512
779,1283776,512
780,1284880,512
781,1285984,512
782,1287092,512
783,1288200,512
784,1289300,512
785,1290404,512
786,1291512,512
787,1292616,512
788,1293720,512
789,1294824,512
790,1295932,511
791,1297036,512
792,1298140,512
793,1299244,511
794,1300352,511
795,1301456,512
796,1302560,512
797,1303664,512
798,1304772,512
799,1305876,511
800,1306980,512
801,1308084,512
802,1309192,512
803,1310296,512
804,1311400,512
805,1312504,512
806,1313612,512
807,1314716,512
808,1315820,511
809,1316924,512
810,1318032,512
811,1319136,512
812,1320240,512
813,1321344,512
814,1322452,512
815,1323556,512
816,1324660,512
817,1325764,512
818,1326872,512
819,1327976,511
820,1329080,512
821,1330192,512
822,1331292,512
823,1332396,511
824,1333500,512
825,1334604,512
826,1335712,511
827,1336816,512
828,1337920,512
829,1339024,512
830,1340132,512
831,1341236,512
832,1342340,512
833,1343444,512
834,1344552,512
835,1345656,512
836,1346760,512
837,1347864,512
838,1348972,511
839,1350076,512
840,1351180,512
841,1352284,512
842,1353392,512
843,1354496,512
844,1355600,512
845,1356704,512
846,1357812,511
847,1358916,512
848,1360020,512
849,1361124,511
850,1362232,512
851,1363336,512
852,1364440,512
853,1365544,511
854,1366652,512
855,1367756,512
856,1368860,512
857,1369964,512
858,1371072,512
859,1372180,512
860,1373280,512
861,1374384,511
862,1375492,511
863,1376596,512
864,1377700,512
865,1378804,512
866,1379912,512
867,1381016,512
868,1382120,512
869,1383224,512
870,1384332,512
871,1385436,512
872,1386540,512
873,1387644,512
874,1388752,512
875,1389856,512
876,1390960,512
877,1392064,512
878,1393172,512
879,1394276,512
880,1395380,512
881,1396484,512
882,1397592,512
883,1398696,512
884,1399800,512
885,1400904,512
886,1402012,512
887,1403116,512
888,1404220,512
889,1405324,511
890,1406432,512
891,1407536,512
892,1408640,512
893,1409744,512
894,1410852,512
895,1411956,512
896,1413060,512
897,1414164,512
898,1415272,511
899,1416376,512
900,1417480,512
901,1418584,512
902,1419692,512
903,1420796,512
904,1421900,512
905,1423004,512
906,1424112,512
907,1425216,512
908,1426320,512
909,1427424,512
910,1428532,512
911,1429636,512
912,1430740,512
913,1431844,512
914,1432952,512
915,1434056,512
916,1435160,512
917,1436264,512
918,1437372,512
919,1438476,512
920,1439580,512
921,1440684,512
922,1441792,511
923,1442896,512
924,1444000,512
925,1445104,512
926,1446212,512
927,1447316,512
928,1448420,512
929,1449524,512
930,1450632,512
931,1451736,512
932,1452840,512
933,1453944,512
934,1455052,512
935,1456156,512
936,1457260,511
937,1458364,512
938,1459472,512
939,1460576,512
940,1461680,512
941,1462784,512
942,1463892,511
943,1464996,512
944,1466100,512
945,1467204,512
946,1468312,512
947,1469416,512
948,1470520,512
949,1471624,512
950,1472732,512
951,1473836,512
952,1474940,512
953,1476044,512
954,1477152,512
955,1478256,512
956,1479360,512
957,1480464,512
958,1481572,512
959,1482676,512
960,1483788,511
961,1484884,512
962,1485992,512
963,1487096,512
964,1488200,512
965,1489304,512
966,1490412,512
967,1491516,512
968,1492620,512
969,1493724,512
970,1494832,512
971,1495936,512
972,1497040,512
973,1498144,512
974,1499252,512
975,1500356,512
976,1501460,512
977,1502564,512
978,1503672,512
979,1504776,512
980,1505880,512
981,1506984,512
982,1508092,511
983,1509196,512
984,1510300,512
985,1511404,511
986,1512512,512
987,1513616,512
988,1514720,512
989,1515824,512
990,1516932,512
991,1518036,512
992,1519140,512
993,1520244,512
994,1521352,512
995,1522456,512
996,1523560,512
997,1524664,512
998,1525776,512
999,1526876,512
