# ADC noise capture
# date: 2026-08-10 20:40:38
# port: COM3, baud: 115200
# source: A0 trimmer potentiometer on the 511/512 code boundary
# requested samples: 1000, received: 1000, bad lines: 0
# duration_s: 1.274, effective_rate_sps: 784.3, mean_interval_us: 1275.0
# note: example capture, padded 15-char format, same operating point as the main run
sample_index,t_us,raw
954,1685520,512
955,1686792,512
956,1688064,512
957,1689340,512
958,1690616,512
959,1691892,512
960,1693164,512
961,1694440,512
962,1695716,512
963,1696992,512
964,1698264,512
965,1699540,512
966,1700816,512
967,1702092,511
968,1703364,512
969,1704640,512
970,1705916,511
971,1707192,512
972,1708464,512
973,1709740,512
974,1711016,512
975,1712292,512
976,1713564,512
977,1714840,512
978,1716116,512
979,1717392,512
980,1718664,512
981,1719940,512
982,1721216,512
983,1722492,512
984,1723764,512
985,1725040,512
986,1726316,511
987,1727592,512
988,1728864,512
989,1730140,512
990,1731416,512
991,1732692,512
992,1733964,512
993,1735240,512
994,1736516,512
995,1737792,512
996,1739064,512
997,1740340,512
998,1741616,512
999,1742892,512
